,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002283,GO:0002283,neutrophil activation involved in immune response,22/75,488/18862,1.09827511672561E-17,8.16408250199531E-15,6.20875818898047E-15,FTH1/SERPINA1/B2M/FCER1G/S100A11/STXBP2/RETN/ALDOA/LILRB2/PTPN6/RHOG/CSTB/PYCARD/CEACAM3/CFP/FCN1/CFD/RAB24/C5AR1/C3AR1/TMEM179B/CD55,22
GO:0002446,GO:0002446,neutrophil mediated immunity,22/75,499/18862,1.75873891951452E-17,8.16408250199531E-15,6.20875818898047E-15,FTH1/SERPINA1/B2M/FCER1G/S100A11/STXBP2/RETN/ALDOA/LILRB2/PTPN6/RHOG/CSTB/PYCARD/CEACAM3/CFP/FCN1/CFD/RAB24/C5AR1/C3AR1/TMEM179B/CD55,22
GO:0060337,GO:0060337,type I interferon signaling pathway,9/75,95/18862,1.35322786090043E-10,3.78505818228202E-08,2.87852443667337E-08,IFITM2/IFITM3/IFITM1/PTPN6/OAS1/IRF7/ISG15/IFIT3/MX1,9
GO:0071357,GO:0071357,cellular response to type I interferon,9/75,96/18862,1.48850602674012E-10,3.78505818228202E-08,2.87852443667337E-08,IFITM2/IFITM3/IFITM1/PTPN6/OAS1/IRF7/ISG15/IFIT3/MX1,9
GO:0034341,GO:0034341,response to interferon-gamma,10/75,197/18862,5.64976937232963E-09,6.91112022694802E-07,5.25588445408347E-07,IFITM2/IFITM3/B2M/IFITM1/IFI30/CD74/OAS1/IRF7/MT2A/CXCL16,10
GO:0008630,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,7/75,100/18862,1.40674847401283E-07,1.08870099293167E-05,8.27953564110068E-06,BID/PYCARD/CD74/CDKN1A/HMOX1/DDIT4/RPS27L,7
GO:0002576,GO:0002576,platelet degranulation,7/75,128/18862,7.6037551442656E-07,5.01284598399732E-05,3.8122530664817E-05,SERPINA1/STXBP2/TIMP1/ALDOA/CFD/TAGLN2/SOD1,7
GO:0001819,GO:0001819,positive regulation of cytokine production,11/75,437/18862,1.17551190957487E-06,6.97470399681089E-05,5.30423970425713E-05,B2M/FCER1G/LILRB2/PYCARD/CD74/FCN1/HMOX1/IRF7/SOD1/C5AR1/C3AR1,11
GO:0035455,GO:0035455,response to interferon-alpha,4/75,21/18862,1.31082076010679E-06,7.5266482354519E-05,5.72399150253763E-05,IFITM2/IFITM3/IFITM1/IFIT3,4
GO:0019882,GO:0019882,antigen processing and presentation,8/75,234/18862,4.10715777267645E-06,0.000221537601071639,0.000168478625060986,B2M/FCER1G/IFI30/PSME1/LILRB2/PYCARD/CD74/CTSL,8
GO:0002697,GO:0002697,regulation of immune effector process,10/75,465/18862,1.48832823199681E-05,0.000735895625820647,0.000559646229926287,B2M/STXBP2/PTPN6/PYCARD/CD74/CFP/HMOX1/C5AR1/C3AR1/CD55,10
GO:0048145,GO:0048145,regulation of fibroblast proliferation,5/75,79/18862,1.55595495184657E-05,0.00074854049034781,0.000569262608271605,FTH1/IFI30/S100A6/CD74/CDKN1A,5
GO:0097193,GO:0097193,intrinsic apoptotic signaling pathway,8/75,283/18862,1.64391158303179E-05,0.000755162059115918,0.00057429828978301,BID/PYCARD/CD74/CDKN1A/HMOX1/SOD1/DDIT4/RPS27L,8
GO:0002685,GO:0002685,regulation of leukocyte migration,7/75,205/18862,1.71698561619629E-05,0.00076405859920735,0.000581064079586429,CX3CR1/RHOG/PYCARD/CD74/HMOX1/C5AR1/C3AR1,7
GO:0060333,GO:0060333,interferon-gamma-mediated signaling pathway,5/75,91/18862,3.09384263801098E-05,0.00128070695247896,0.000973973471843848,B2M/IFI30/OAS1/IRF7/MT2A,5
